name,code,sku,barcode,category_id,unit_id,cost_price,selling_price,min_stock,max_stock,description,is_active,brand,weight,weight_unit,track_batches,track_serials,warranty_months,country_of_origin,is_returnable,color,size
لابتوب ديل انسبيرون 15,PROD-001,SKU-DELL-001,6281234567890,1,1,15000.00,18500.00,5,50,لابتوب ديل انسبيرون 15 بوصة - معالج i5 - رام 8 جيجا,1,Dell,2.5,kg,0,1,24,USA,1,أسود,15 بوصة
شاشة سامسونج 27 بوصة,PROD-002,SKU-SAM-001,6281234567891,1,1,3500.00,4200.00,10,100,شاشة سامسونج 27 بوصة Full HD,1,Samsung,5.2,kg,0,1,12,Korea,1,أسود,27 بوصة
كيبورد لوجيتك لاسلكي,PROD-003,SKU-LOG-001,6281234567892,2,1,450.00,650.00,20,200,كيبورد لوجيتك لاسلكي مع ماوس,1,Logitech,0.8,kg,0,0,12,China,1,أسود,قياسي
ماوس ريزر جيمنج,PROD-004,SKU-RAZ-001,6281234567893,2,1,800.00,1100.00,15,150,ماوس ريزر للألعاب - 16000 DPI,1,Razer,0.12,kg,0,0,24,USA,1,أسود/أخضر,قياسي
سماعة ابل ايربودز برو,PROD-005,SKU-APL-001,6281234567894,3,1,4500.00,5500.00,10,80,سماعة ابل ايربودز برو 2 مع علبة شحن,1,Apple,0.05,kg,0,1,12,China,1,أبيض,قياسي
شاحن انكر 65 وات,PROD-006,SKU-ANK-001,6281234567895,4,1,350.00,500.00,30,300,شاحن انكر سريع 65 وات USB-C,1,Anker,0.15,kg,0,0,18,China,1,أبيض,قياسي
هارد خارجي سيجيت 2 تيرا,PROD-007,SKU-SEA-001,6281234567896,5,1,1800.00,2200.00,15,100,هارد خارجي سيجيت 2 تيرابايت USB 3.0,1,Seagate,0.18,kg,1,1,36,Thailand,1,أسود,2TB
رام كينجستون 16 جيجا,PROD-008,SKU-KIN-001,6281234567897,6,1,1200.00,1500.00,20,150,رام كينجستون DDR4 16 جيجا 3200MHz,1,Kingston,0.02,kg,0,0,60,Taiwan,1,,16GB DDR4
كارت شاشة MSI RTX 4060,PROD-009,SKU-MSI-001,6281234567898,6,1,12000.00,14500.00,3,20,كارت شاشة MSI GeForce RTX 4060 8GB,1,MSI,1.2,kg,0,1,36,Taiwan,1,أسود,8GB
باور سبلاي كورسير 750 وات,PROD-010,SKU-COR-001,6281234567899,6,1,2200.00,2800.00,8,50,باور سبلاي كورسير 750 وات 80+ Gold,1,Corsair,1.8,kg,0,1,60,China,1,أسود,750W
طابعة HP ليزر,PROD-011,SKU-HP-001,6281234567900,7,1,3800.00,4500.00,5,30,طابعة HP ليزر جيت برو M404dn,1,HP,8.5,kg,0,1,12,China,1,أبيض,A4
راوتر تي بي لينك,PROD-012,SKU-TPL-001,6281234567901,8,1,800.00,1100.00,15,100,راوتر تي بي لينك AC1200 واي فاي 5,1,TP-Link,0.35,kg,0,0,24,China,1,أبيض,AC1200
كابل HDMI 2 متر,PROD-013,SKU-CAB-001,6281234567902,4,1,50.00,100.00,100,1000,كابل HDMI 2.1 - 2 متر - 4K 120Hz,1,Generic,0.1,kg,0,0,12,China,1,أسود,2 متر
USB فلاش 64 جيجا,PROD-014,SKU-SAN-001,6281234567903,5,1,120.00,180.00,50,500,USB فلاش سانديسك 64 جيجا USB 3.0,1,SanDisk,0.01,kg,0,0,60,Malaysia,1,أسود/أحمر,64GB
ستاند لابتوب,PROD-015,SKU-STD-001,6281234567904,9,1,250.00,400.00,25,200,ستاند لابتوب قابل للتعديل - ألومنيوم,1,Generic,0.8,kg,0,0,12,China,1,فضي,قابل للتعديل
